Namn;pgkod;persnr;Namn;meritp;Namn ;Kurskod;HP;Obligatorisk;betyg
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Linjär algebra;HMAA20;5;1;VG
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;2766382960;Buckie Hanlan;18.71;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Diskret matematik och logik;HMAA61;5;1;VG
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;3952130672;Josiah Lesway;16.89;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Diskret matematik och logik;HMAA61;5;1;VG
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;9375987665;Rancell McRuvie;9.61;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;9057335392;Frankie Narraway;8.15;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Programmering 1;HIBA20;5;1;VG
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Diskret matematik och logik;HMAA61;5;1;VG
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Surveymetodik med uppsats;HSTB21;10;1;VG
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;2925107486;Alano Ewasyshyn;19.11;Linjär algebra;HMAA20;5;1;VG
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Grunder i statistisk metodik;HSTA76;10;1;VG
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Statistisk analys av samhällsdata;HSTA21;10;1;VG
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;1690613869;Mitchael Weaver;19.77;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;7112234201;Aldwin Decourcy;16.19;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;5769946718;Sherwin Yerigan;11.26;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Data Mining;HSTC22;5;0;VG
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Grunder i statistisk metodik;HSTA76;10;1;VG
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;5724003636;Mill Hengl;10.72;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Multivariata metoder;HSTC04;5;0;VG
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Surveymetodik med uppsats;HSTB21;10;1;VG
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;5991854662;Caldwell Familiadis;11.34;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Multivariata metoder;HSTC04;5;0;VG
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;2083099051;Nigel Dover;13.66;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Grunder i statistisk metodik;HSTA76;10;1;U
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;6104401403;Abbe Gopisetty;16.31;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Epidemiometri;HSTD54;5;0;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Programmering 1;HIBA20;5;1;VG
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Surveymetodik med uppsats;HSTB21;10;1;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;4651857956;Land England;19.84;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Multivariata metoder;HSTC04;5;0;VG
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Statistisk teori I;HSTC20;5;0;G
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Envariabelanalys för statistiker;HMAA54;10;1;VG
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Sambandsmodeller;HSTB20;10;1;U
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;7620963407;Barnabe Crapco;13.13;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Databaser: Design och programmering;HIBB31;5;1;VG
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Programmering 1;HIBA20;5;1;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Statistisk teori I;HSTC20;5;0;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Envariabelanalys för statistiker;HMAA54;10;1;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Grunder i statistisk metodik;HSTA76;10;1;VG
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Sambandsmodeller;HSTB20;10;1;G
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Statistisk analys av samhällsdata;HSTA21;10;1;U
Statistik och dataanalys;LIU50007;9785268254;Sullivan Artspssa;11.42;Linjär algebra;HMAA20;5;1;U
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Programmering 1;HIBA20;5;1;VG
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Grunder i statistisk metodik;HSTA76;10;1;VG
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Vetenskapsfilosofi;HVTA52;5;0;U
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Statistisk analys av samhällsdata;HSTA21;10;1;G
Statistik och dataanalys;LIU50007;9303968502;Worden Quevillon;13.14;Linjär algebra;HMAA20;5;1;VG
Statistik och dataanalys;LIU50007;9326731124;Sammy Hesk;17.95;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;9326731124;Sammy Hesk;17.95;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;9326731124;Sammy Hesk;17.95;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;9326731124;Sammy Hesk;17.95;Javaprogrammering;HIBB20;5;1;G
Statistik och dataanalys;LIU50007;9326731124;Sammy Hesk;17.95;Programmering 1;HIBA20;5;1;G
